"year","wasteshed","material","disposition","tons","umbDisp"
2018,"Baker","Aluminum","landfilling",47.4129670440354,"disposal"
2018,"Baker","Aluminum","recycling",69.305,"recovery"
2018,"Baker","Cardboard","combustion",0,"disposal"
2018,"Baker","Cardboard","landfilling",414.867873691867,"disposal"
2018,"Baker","Cardboard","recycling",714.182,"recovery"
2018,"Baker","Carpeting","combustion",0,"disposal"
2018,"Baker","Carpeting","landfilling",306.891914994687,"disposal"
2018,"Baker","Carpeting","recycling",0,"recovery"
2018,"Baker","FoodWaste","anaerobicDigestion",0,"recovery"
2018,"Baker","FoodWaste","combustion",0,"disposal"
2018,"Baker","FoodWaste","composting",0,"recovery"
2018,"Baker","FoodWaste","landfilling",1915.9758643684,"disposal"
2018,"Baker","Glass","landfilling",199.809740157908,"disposal"
2018,"Baker","Glass","recycling",245.499,"recovery"
2018,"Baker","Glass","recyclingPozzolan",0,"recovery"
2018,"Baker","Glass","recyclingToFiberglass",0,"recovery"
2018,"Baker","Glass","reuseContainer",0,"recovery"
2018,"Baker","Glass","useAsAggregate",0,"recovery"
2018,"Baker","PaperFiber","combustion",0,"disposal"
2018,"Baker","PaperFiber","landfilling",1588.43035797019,"disposal"
2018,"Baker","PaperFiber","recycling",120.839,"recovery"
2018,"Baker","PlasticFilm","combustion",0,"disposal"
2018,"Baker","PlasticFilm","landfilling",617.544086310472,"disposal"
2018,"Baker","PlasticFilm","recycling",14.551,"recovery"
2018,"Baker","ScrapMetal","landfilling",500.069160879023,"disposal"
2018,"Baker","ScrapMetal","recycling",199.536,"recovery"
2018,"Baker","TinnedCan","landfilling",81.9653684845068,"disposal"
2018,"Baker","TinnedCan","recycling",1.7,"recovery"
2018,"Benton","Aluminum","landfilling",226.696567428565,"disposal"
2018,"Benton","Aluminum","recycling",431.208,"recovery"
2018,"Benton","Cardboard","combustion",0.00803777625316263,"disposal"
2018,"Benton","Cardboard","landfilling",1983.61606045419,"disposal"
2018,"Benton","Cardboard","recycling",7413.596,"recovery"
2018,"Benton","Carpeting","combustion",0.00594581721809581,"disposal"
2018,"Benton","Carpeting","landfilling",1467.34844997697,"disposal"
2018,"Benton","Carpeting","recycling",0,"recovery"
2018,"Benton","FoodWaste","anaerobicDigestion",0,"recovery"
2018,"Benton","FoodWaste","combustion",0.0371206986147381,"disposal"
2018,"Benton","FoodWaste","composting",1019.904,"recovery"
2018,"Benton","FoodWaste","landfilling",9160.89371342001,"disposal"
2018,"Benton","Glass","landfilling",955.354306144181,"disposal"
2018,"Benton","Glass","recycling",2437.844,"recovery"
2018,"Benton","Glass","recyclingPozzolan",0,"recovery"
2018,"Benton","Glass","recyclingToFiberglass",0,"recovery"
2018,"Benton","Glass","reuseContainer",0,"recovery"
2018,"Benton","Glass","useAsAggregate",0,"recovery"
2018,"Benton","PaperFiber","combustion",0.0307747324406663,"disposal"
2018,"Benton","PaperFiber","landfilling",7594.79383386255,"disposal"
2018,"Benton","PaperFiber","recycling",4154.297,"recovery"
2018,"Benton","PlasticFilm","combustion",0.011964486784807,"disposal"
2018,"Benton","PlasticFilm","landfilling",2952.67588869457,"disposal"
2018,"Benton","PlasticFilm","recycling",109.355,"recovery"
2018,"Benton","ScrapMetal","landfilling",2390.9906786232,"disposal"
2018,"Benton","ScrapMetal","recycling",3775.609,"recovery"
2018,"Benton","TinnedCan","landfilling",391.902655368469,"disposal"
2018,"Benton","TinnedCan","recycling",180.868,"recovery"
2018,"Clatsop","Aluminum","landfilling",120.828259439248,"disposal"
2018,"Clatsop","Aluminum","recycling",340.451,"recovery"
2018,"Clatsop","Cardboard","combustion",0.00278230716445372,"disposal"
2018,"Clatsop","Cardboard","landfilling",1057.25851387645,"disposal"
2018,"Clatsop","Cardboard","recycling",4330.026,"recovery"
2018,"Clatsop","Carpeting","combustion",0.00205816749849575,"disposal"
2018,"Clatsop","Carpeting","landfilling",782.090179894166,"disposal"
2018,"Clatsop","Carpeting","recycling",0,"recovery"
2018,"Clatsop","FoodWaste","anaerobicDigestion",0,"recovery"
2018,"Clatsop","FoodWaste","combustion",0.0128494725969356,"disposal"
2018,"Clatsop","FoodWaste","composting",2.532,"recovery"
2018,"Clatsop","FoodWaste","landfilling",4882.71549435474,"disposal"
2018,"Clatsop","Glass","landfilling",509.199584574947,"disposal"
2018,"Clatsop","Glass","recycling",1507.64,"recovery"
2018,"Clatsop","Glass","recyclingPozzolan",0,"recovery"
2018,"Clatsop","Glass","recyclingToFiberglass",0,"recovery"
2018,"Clatsop","Glass","reuseContainer",0,"recovery"
2018,"Clatsop","Glass","useAsAggregate",0,"recovery"
2018,"Clatsop","PaperFiber","combustion",0.0106527919982994,"disposal"
2018,"Clatsop","PaperFiber","landfilling",4047.99124289658,"disposal"
2018,"Clatsop","PaperFiber","recycling",1404.823,"recovery"
